"filename", "language", "JavaScript", "Log", "PHP", "Markdown", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Cart\RemoveItemFromCartUseCase.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 4, 13, 54
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Cart\UpdateCartItemUseCase.php", "PHP", 0, 0, 49, 0, 0, 0, 0, 6, 16, 71
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Chat\CreateChatUseCase.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Chat\FilterMessageUseCase.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Chat\GetChatUseCase.php", "PHP", 0, 0, 34, 0, 0, 0, 0, 3, 11, 48
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Chat\SendMessageUseCase.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 2, 11, 61
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Checkout\ProcessCheckoutUseCase.php", "PHP", 0, 0, 90, 0, 0, 0, 0, 9, 21, 120
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Favorite\GetUserFavoritesUseCase.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 13, 7, 45
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Favorite\ToggleFavoriteUseCase.php", "PHP", 0, 0, 70, 0, 0, 0, 0, 23, 14, 107
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Favorite\UpdateFavoriteNotificationsUseCase.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 19, 10, 72
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Feedback\ApplyDiscountCodeUseCase.php", "PHP", 0, 0, 98, 0, 0, 0, 0, 28, 20, 146
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Feedback\GenerateDiscountCodeUseCase.php", "PHP", 0, 0, 73, 0, 0, 0, 0, 20, 17, 110
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Feedback\ReviewFeedbackUseCase.php", "PHP", 0, 0, 67, 0, 0, 0, 0, 25, 17, 109
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Feedback\SubmitFeedbackUseCase.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 18, 8, 65
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Notification\CheckProductUpdatesForUsersUseCase.php", "PHP", 0, 0, 131, 0, 0, 0, 0, 13, 21, 165
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Notification\DeleteNotificationUseCase.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 7, 12, 71
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Notification\GetUserNotificationsUseCase.php", "PHP", 0, 0, 74, 0, 0, 0, 0, 18, 18, 110
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Notification\MarkAllNotificationsAsReadUseCase.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 6, 10, 54
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Notification\MarkNotificationAsReadUseCase.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 7, 12, 71
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Order\CreateOrderUseCase.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 4, 9, 56
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Order\GetOrderDetailsUseCase.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Order\ProcessPaymentUseCase.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Payment\GenerateQRDeUnatUseCase.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Payment\ProcessCreditCardUseCase.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Payment\ProcessPaypalUseCase.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Product\CreateProductUseCase.php", "PHP", 0, 0, 79, 0, 0, 0, 0, 28, 16, 123
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Product\GetProductDetailsUseCase.php", "PHP", 0, 0, 61, 0, 0, 0, 0, 20, 15, 96
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Product\IncrementProductViewUseCase.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 11, 10, 62
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Product\SearchProductsUseCase.php", "PHP", 0, 0, 122, 0, 0, 0, 0, 39, 19, 180
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Product\UpdateProductUseCase.php", "PHP", 0, 0, 138, 0, 0, 0, 0, 35, 42, 215
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Rating\RateProductUseCase.php", "PHP", 0, 0, 68, 0, 0, 0, 0, 27, 14, 109
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Rating\RateSellerUseCase.php", "PHP", 0, 0, 72, 0, 0, 0, 0, 28, 14, 114
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Rating\RateUserUseCase.php", "PHP", 0, 0, 81, 0, 0, 0, 0, 31, 16, 128
